ID ,,  Year  ,       Award      ,Winner,      Name           Film        
307 , 1942 , Actress in a Supporting Role , 0 , Dame May Whitty , Mrs. Miniver
320 , 1943 , Actress in a Leading Role , 0 , Jean Arthur , The More the Merrier
321 , 1943 , Actress in a Leading Role , 0 , Ingrid Bergman , For Whom the Bell Tolls
325 , 1943 , Actress in a Supporting Role , 0 , Paulette Goddard , So Proudly We Hail!
317 , 1943 , Actor in a Supporting Role , 0 , J. Carrol Naish , Sahara
319 , 1943 , Actor in a Supporting Role , 0 , Akim Tamiroff , For Whom the Bell Tolls
313 , 1943 , Actor in a Leading Role , 0 , Gary Cooper , For Whom the Bell Tolls
326 , 1943 , Actress in a Supporting Role , 0 , Anne Revere , The Song of Bernadette
311 , 1943 , Actress in a Supporting Role , 1 , Katina Paxinou , For Whom the Bell Tolls
324 , 1943 , Actress in a Supporting Role , 0 , Gladys Cooper , The Song of Bernadette
322 , 1943 , Actress in a Leading Role , 0 , Joan Fontaine , The Constant Nymph
308 , 1943 , Actor in a Leading Role , 1 , Paul Lukas , Watch on the Rhine
309 , 1943 , Actor in a Supporting Role , 1 , Charles Coburn , The More the Merrier
310 , 1943 , Actress in a Leading Role , 1 , Jennifer Jones , The Song of Bernadette
327 , 1943 , Actress in a Supporting Role , 0 , Lucile Watson , Watch on the Rhine
318 , 1943 , Actor in a Supporting Role , 0 , Claude Rains , Casablanca
323 , 1943 , Actress in a Leading Role , 0 , Greer Garson , Madame Curie
315 , 1943 , Actor in a Leading Role , 0 , Mickey Rooney , The Human Comedy
316 , 1943 , Actor in a Supporting Role , 0 , Charles Bickford , The Song of Bernadette
314 , 1943 , Actor in a Leading Role , 0 , Walter Pidgeon , Madame Curie
312 , 1943 , Actor in a Leading Role , 0 , Humphrey Bogart , Casablanca
339 , 1944 , Actor in a Supporting Role , 0 , Monty Woolley , Since You Went Away
332 , 1944 , Actor in a Leading Role , 0 , Charles Boyer , Gaslight
344 , 1944 , Actress in a Supporting Role , 0 , Jennifer Jones , Since You Went Away
336 , 1944 , Actor in a Supporting Role , 0 , Hume Cronyn , The Seventh Cross
328 , 1944 , Actor in a Leading Role , 1 , Bing Crosby , Going My Way
345 , 1944 , Actress in a Supporting Role , 0 , Angela Lansbury , Gaslight
342 , 1944 , Actress in a Leading Role , 0 , Greer Garson , Mrs. Parkington
343 , 1944 , Actress in a Leading Role , 0 , Barbara Stanwyck , Double Indemnity
335 , 1944 , Actor in a Leading Role , 0 , Alexander Knox , Wilson
329 , 1944 , Actor in a Supporting Role , 1 , Barry Fitzgerald , Going My Way
333 , 1944 , Actor in a Leading Role , 0 , Barry Fitzgerald , Going My Way
346 , 1944 , Actress in a Supporting Role , 0 , Aline MacMahon , Dragon Seed
341 , 1944 , Actress in a Leading Role , 0 , Bette Davis , Mr. Skeffington
331 , 1944 , Actress in a Supporting Role , 1 , Ethel Barrymore , None but the Lonely Heart
347 , 1944 , Actress in a Supporting Role , 0 , Agnes Moorehead , Mrs. Parkington
338 , 1944 , Actor in a Supporting Role , 0 , Clifton Webb , Laura
340 , 1944 , Actress in a Leading Role , 0 , Claudette Colbert , Since You Went Away
337 , 1944 , Actor in a Supporting Role , 0 , Claude Rains , Mr. Skeffington
334 , 1944 , Actor in a Leading Role , 0 , Cary Grant , None but the Lonely Heart
